TITLE     = ""
VARIABLES = "x [m]"
"r [m]"
ZONE T="Ogive Surface"
 STRANDID=0, SOLUTIONTIME=0
 I=8000, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 6.306000798940658569E-02 2.499999936844687909E-06
 6.306001543998718262E-02 7.499999355786712840E-06
 6.306001543998718262E-02 1.249999786523403600E-05
 6.306002289056777954E-02 1.749999501043930650E-05
 6.306003034114837646E-02 2.249998760817106813E-05
 6.306003779172897339E-02 2.749997838691342622E-05
 6.306005269289016724E-02 3.249996370868757367E-05
 6.306006759405136108E-02 3.749994357349351048E-05
 6.306008249521255493E-02 4.249991980032064021E-05
 6.306009739637374878E-02 4.749988511321134865E-05
 6.306011974811553955E-02 5.249984678812325001E-05
 6.306014209985733032E-02 5.749979754909873009E-05
 6.306016445159912109E-02 6.249974103411659598E-05
 6.306019425392150879E-02 6.749966996721923351E-05
 6.306021660566329956E-02 7.249959162436425686E-05
 6.306024640798568726E-02 7.749950600555166602E-05
 6.306028366088867188E-02 8.249939855886623263E-05
 6.306031346321105957E-02 8.749928383622318506E-05
 6.306035071611404419E-02 9.249915456166490912E-05
 6.306038796901702881E-02 9.749901073519140482E-05
 6.306043267250061035E-02 1.024988523568026721E-04
 6.306046992540359497E-02 1.074986721505410969E-04
 6.306051462888717651E-02 1.124984846683219075E-04
 6.306055933237075806E-02 1.174982680822722614E-04
 6.306061148643493652E-02 1.224980369443073869E-04
 6.306065618991851807E-02 1.274977839784696698E-04
 6.306070834398269653E-02 1.324975164607167244E-04
 6.306076794862747192E-02 1.374972198391333222E-04
 6.306082010269165039E-02 1.424969086656346917E-04
 6.306087970733642578E-02 1.474965829402208328E-04
 6.306093931198120117E-02 1.524962135590612888E-04
 6.306099891662597656E-02 1.574958296259865165E-04
 6.306106597185134888E-02 1.624954165890812874E-04
 6.306113302707672119E-02 1.674949890002608299E-04
 6.306120008230209351E-02 1.724945177556946874E-04
 6.306126713752746582E-02 1.774940319592133164E-04
 6.306134164333343506E-02 1.824935170589014888E-04
